Bestandeseinheit,Baumart,Baumnummer,D_1984,Aus_1984,H_1984,D_1995,Aus_1995,H_1995,D_2006,Aus_2006,H_2006,D_2013,Aus_2013,H_2013
3,Fi,346,11.3,NA,NA,18.8,NA,NA,19.5,7,NA,NA,NA,NA
2,Ofi,347,9.6,NA,NA,11.1,NA,NA,11.5,7,NA,NA,NA,NA
2,Ofi,348,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ofi,349,10.4,NA,NA,10.4,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,350,11.9,NA,NA,14.0,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,351,9.1,NA,NA,9.1,4,NA,NA,NA,NA,NA,NA,NA
2,Ofi,352,10.8,NA,NA,10.9,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,353,16.2,NA,NA,20.7,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,354,11.9,NA,NA,12.4,4,NA,NA,NA,NA,NA,NA,NA
3,Fi,355,11.2,NA,NA,19.7,NA,NA,20.5,7,NA,NA,NA,NA
1,Dgl,356,17.4,NA,NA,32.4,NA,NA,41.9,NA,NA,56.3,NA,32.8
2,Ofi,357,6.6,NA,NA,6.4,5,NA,NA,NA,NA,NA,NA,NA
2,Ofi,358,5.4,NA,NA,5.2,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,359,10.8,NA,NA,16.1,NA,NA,20.0,NA,NA,20.4,NA,NA
2,Ofi,360,7.9,NA,NA,7.7,6,NA,NA,NA,NA,NA,NA,NA
2,Ofi,361,12.8,NA,NA,16.9,NA,NA,19.4,NA,NA,20.5,NA,NA
1,Dgl,362,9.1,NA,NA,12.3,NA,NA,17.6,NA,NA,25.7,NA,23.6
2,Ofi,363,11.2,NA,NA,16.2,NA,NA,17.0,7,NA,NA,NA,NA
2,Ofi,364,8.4,NA,NA,9.3,7,NA,NA,NA,NA,NA,NA,NA
