Bestandeseinheit,Baumart,Baumnummer,D_1960,Aus_1960,H_1960,D_1967,Aus_1967,H_1967,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2015,Aus_2015,H_2015
1,Bu,31403,19.0,NA,NA,20.6,NA,NA,25.7,NA,NA,25.7,NA,29.0,29.7,NA,30.3,32.4,NA,NA,33.1,NA,NA,34.4,NA,NA,36.4,NA,35.0
1,Bu,31404,14.0,NA,NA,14.5,NA,NA,14.8,NA,NA,14.8,NA,NA,15.0,NA,NA,15.1,NA,NA,15.1,NA,NA,15.8,NA,NA,17.4,NA,16.2
3,Ah,31405,14.1,NA,NA,14.7,NA,NA,15.0,NA,NA,14.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31406,13.5,NA,NA,13.5,NA,NA,13.6,NA,NA,13.4,NA,NA,13.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,31407,37.6,NA,NA,40.2,NA,NA,43.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31408,16.6,NA,NA,17.2,NA,NA,17.4,NA,NA,18.2,NA,NA,18.4,NA,NA,18.5,NA,NA,18.4,NA,NA,19.1,NA,NA,21.3,NA,NA
1,Bu,31409,10.8,NA,NA,12.3,NA,NA,13.0,NA,NA,13.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31501,15.0,NA,NA,15.5,NA,NA,15.8,NA,NA,16.8,NA,NA,18.3,NA,NA,18.7,NA,NA,18.8,NA,NA,19.2,NA,NA,20.4,NA,NA
4,Hbu,31502,16.2,NA,NA,16.2,NA,NA,16.2,6,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31503,9.8,NA,NA,9.8,NA,NA,9.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ah,31504,15.8,NA,NA,15.8,NA,NA,15.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31505,11.4,NA,NA,11.5,NA,NA,11.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31506,12.5,NA,NA,13.1,NA,NA,13.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31507,20.0,NA,NA,22.3,NA,NA,24.9,NA,NA,28.2,NA,NA,32.0,NA,NA,33.3,NA,NA,33.9,NA,NA,34.3,NA,NA,36.2,NA,NA
1,Bu,31508,15.3,NA,NA,15.5,NA,NA,15.8,NA,NA,15.8,NA,NA,16.1,NA,NA,16.2,NA,NA,16.0,NA,NA,15.9,NA,NA,16.0,NA,NA
1,Bu,31509,7.8,NA,NA,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31510,18.9,NA,NA,21.6,NA,NA,25.4,NA,NA,29.8,NA,NA,34.3,NA,NA,36.3,NA,NA,36.6,NA,NA,37.3,NA,NA,38.6,NA,NA
1,Bu,31511,13.4,NA,NA,14.2,7,22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,31512,20.8,NA,NA,23.1,NA,NA,26.7,NA,NA,30.7,NA,NA,34.7,NA,NA,37.2,NA,NA,38.0,NA,NA,39.2,NA,NA,40.7,NA,33.9
