Bestandeseinheit,Baumart,Baumnummer,D_1955,Aus_1955,H_1955,D_1959,Aus_1959,H_1959,D_1966,Aus_1966,H_1966,D_1975,Aus_1975,H_1975,D_1985,Aus_1985,H_1985,D_1995,Aus_1995,H_1995,D_1996,Aus_1996,H_1996,D_2002,Aus_2002,H_2002,D_2005,Aus_2005,H_2005,D_2009,Aus_2009,H_2009,D_2014,Aus_2014,H_2014
6,Bu,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.4,1.0,NA,NA,1.3,NA,NA,1.3,NA,NA,1.6,NA,NA
6,Bu,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.5,NA,NA,0.8,NA,NA,0.8,NA,NA,1.0,NA,NA
6,Bu,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.0,1.0,NA,NA,1.5,NA,NA,1.5,NA,NA,1.8,NA,NA
6,Bu,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.2,1.0,NA,NA,1.8,NA,NA,2.3,NA,NA,2.6,NA,NA
6,Bu,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.4,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.9,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.5,NA,NA,0.7,NA,NA,0.7,NA,NA,0.8,NA,NA
6,Bu,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.2,0.9,NA,NA,1.5,NA,NA,2.0,NA,NA,2.4,NA,NA
6,Bu,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,5,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,2.3,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,1.9,0.5,NA,NA,0.9,NA,NA,0.9,NA,NA,1.1,NA,NA
6,Bu,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.2,1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.6,NA,NA,1.1,NA,NA,1.1,NA,NA,1.3,NA,NA
6,Bu,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.5,0.8,NA,NA,1.1,NA,NA,1.1,NA,NA,1.3,NA,NA
6,Bu,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.5,0.3,NA,NA,0.5,NA,NA,0.5,NA,NA,0.7,NA,NA
6,Bu,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.5,NA,NA,0.7,NA,NA,0.7,NA,NA,0.9,NA,NA
6,Bu,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.8,1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,301,11.0,NA,NA,11.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,3.0,2.7,NA,NA,3.1,NA,NA,3.7,NA,NA,4.2,NA,NA
4,Ah,302,14.4,NA,NA,16.0,NA,NA,17.9,NA,NA,18.8,NA,NA,20.3,NA,NA,21.8,NA,NA,21.9,NA,NA,22.6,NA,NA,23.1,NA,NA,24.2,NA,NA,25.9,NA,22.6
6,Bu,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.9,1.0,NA,NA,1.3,NA,NA,1.3,NA,NA,1.5,NA,NA
3,Es,303,18.5,NA,NA,19.8,NA,NA,23.2,NA,NA,28.1,NA,29.5,33.2,NA,32.0,39.2,NA,34.1,39.8,NA,NA,43.0,NA,NA,44.3,NA,NA,46.5,NA,NA,48.8,NA,NA
6,Bu,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.4,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Es,304,15.7,NA,NA,17.0,NA,NA,19.1,NA,NA,21.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.8,1.0,NA,NA,1.7,NA,NA,1.4,NA,NA,1.2,NA,NA
3,Es,305,15.3,NA,NA,16.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.8,NA,NA,1.2,NA,NA,1.2,NA,NA,1.2,NA,NA
3,Es,306,17.7,NA,NA,19.0,NA,NA,21.8,NA,NA,25.4,NA,25.0,28.8,NA,28.7,31.0,NA,32.8,31.3,NA,NA,32.8,NA,NA,33.5,NA,NA,36.1,NA,NA,38.8,NA,NA
6,Bu,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.6,0.7,NA,NA,0.8,NA,NA,0.8,NA,NA,0.8,NA,NA
3,Es,307,8.9,NA,NA,9.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.7,0.3,NA,NA,0.6,NA,NA,0.6,NA,NA,0.7,NA,NA
1,Bu,308,25.4,NA,NA,26.5,NA,NA,28.6,NA,NA,29.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.6,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,309,28.4,NA,NA,29.8,NA,NA,32.3,NA,NA,35.0,NA,NA,38.9,NA,NA,42.9,NA,NA,43.3,NA,NA,45.0,NA,NA,46.3,NA,NA,48.2,NA,NA,49.5,NA,NA
6,Bu,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.5,NA,NA,1.3,NA,NA,1.9,NA,NA,2.7,NA,NA
1,Bu,310,5.8,NA,4.8,6.0,NA,NA,6.2,NA,NA,7.4,NA,NA,8.0,NA,NA,10.0,3,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.5,0.8,NA,NA,1.6,NA,NA,2.4,NA,NA,3.1,NA,NA
6,Bu,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.7,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bu,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,1.4,0.5,NA,NA,0.7,NA,NA,0.8,NA,NA,0.5,NA,NA
6,Bu,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,3.3,2.6,NA,NA,3.8,NA,NA,4.4,NA,NA,5.0,NA,NA
6,Bu,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,3.8,3.1,NA,NA,4.2,NA,NA,4.8,NA,NA,5.4,NA,NA
6,Bu,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.6,0.6,NA,NA,0.8,NA,NA,0.7,NA,NA,0.9,NA,NA
6,Bu,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.9,0.8,NA,NA,1.3,NA,NA,2.1,NA,NA,2.5,NA,NA
6,Bu,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,2.7,1.8,NA,NA,2.7,NA,NA,4.0,NA,NA,5.3,NA,NA
6,Bu,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.2,1.2,NA,NA,2.1,NA,NA,2.4,NA,NA,2.8,NA,NA
