Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,501,7.9,NA,NA,8.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,502,7.6,NA,NA,7.9,NA,NA,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,503,13.2,NA,NA,13.4,NA,NA,13.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,504,10.6,NA,NA,11.1,NA,NA,11.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,505,12.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,506,10.0,NA,NA,9.8,NA,NA,9.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,507,18.2,NA,NA,21.2,NA,NA,26.5,NA,NA,30.6,NA,NA,34.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,508,10.6,NA,NA,10.7,NA,NA,10.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,509,10.8,NA,NA,10.8,NA,NA,10.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,510,25.0,NA,NA,27.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,511,6.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,512,8.6,NA,NA,8.7,NA,NA,8.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,513,8.7,NA,NA,8.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,514,10.4,NA,NA,12.5,NA,NA,14.2,NA,NA,14.6,NA,NA,14.7,NA,NA,15.2,NA,NA,16.8,NA,NA,19.3,NA,NA
1,Bu,515,27.4,NA,NA,31.8,NA,NA,35.6,NA,NA,39.9,NA,NA,44.2,NA,NA,47.1,5,NA,NA,NA,NA,NA,NA,NA
1,Bu,1001,12.3,NA,NA,12.6,NA,NA,13.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1002,23.2,NA,NA,26.3,NA,NA,30.9,NA,NA,36.2,NA,NA,40.0,NA,NA,42.1,NA,NA,44.2,1,NA,NA,NA,NA
1,Bu,1003,11.2,NA,NA,11.1,NA,NA,10.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
