Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,74,12.5,NA,NA,13.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,75,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,76,17.4,NA,NA,20.6,NA,NA,25.9,NA,25.4,29.0,NA,NA,35.0,NA,NA,37.9,2,NA
1,Bu,77,12.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,78,14.3,NA,NA,15.6,NA,NA,19.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,79,13.8,NA,NA,14.8,NA,NA,18.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,80,13.6,NA,18.4,13.7,NA,NA,14.2,NA,NA,14.6,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,81,13.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,82,21.6,NA,NA,26.5,NA,NA,34.8,NA,NA,39.4,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,83,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,84,15.2,NA,NA,19.1,NA,25.6,28.1,NA,28.1,32.4,NA,32.1,37.1,1,NA,NA,NA,NA
1,Bu,85,18.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,86,11.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,87,19.0,NA,NA,19.6,NA,25.0,19.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,88,10.4,NA,NA,10.2,NA,NA,11.6,NA,NA,11.8,NA,NA,14.4,1,NA,NA,NA,NA
1,Bu,89,9.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,90,20.8,NA,NA,24.6,NA,NA,31.5,NA,NA,35.4,NA,NA,41.8,NA,NA,44.8,NA,NA
