Bestandeseinheit,Baumart,Baumnummer,D_1957,Aus_1957,H_1957,D_1963,Aus_1963,H_1963,D_1972,Aus_1972,H_1972,D_1982,Aus_1982,H_1982,D_1992,Aus_1992,H_1992,D_2000,Aus_2000,H_2000,D_2008,Aus_2008,H_2008,D_2016,Aus_2016,H_2016
1,Bu,916,15.1,NA,NA,16.0,NA,NA,18.0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,917,12.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1501,14.8,NA,NA,16.3,NA,NA,19.9,NA,22.5,22.8,NA,NA,25.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1502,7.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1503,12.3,NA,NA,13.4,NA,NA,14.7,NA,NA,16.3,NA,NA,16.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1504,8.4,NA,NA,8.5,NA,NA,8.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1505,11.8,NA,NA,12.2,NA,NA,12.8,2,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1506,12.4,NA,NA,13.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1507,8.0,NA,NA,7.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1508,6.8,NA,NA,6.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1509,6.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1510,14.4,NA,NA,15.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1511,17.0,NA,NA,17.6,NA,NA,19.5,NA,21.1,21.2,NA,NA,22.2,NA,NA,22.9,NA,NA,24.1,NA,NA,25.8,NA,28.1
1,Bu,1512,19.6,NA,NA,21.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1513,9.8,NA,NA,9.8,NA,NA,10.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1514,13.8,NA,NA,14.4,NA,NA,17.1,NA,NA,20.4,NA,NA,22.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1515,13.2,NA,NA,14.0,NA,NA,15.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1516,11.4,NA,NA,11.3,NA,NA,11.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1517,14.4,NA,NA,14.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1518,13.4,NA,NA,13.8,NA,NA,15.7,NA,20.1,16.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1519,15.7,NA,NA,17.0,NA,NA,18.4,NA,NA,19.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1520,10.2,NA,NA,9.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1521,9.4,NA,NA,9.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1522,16.8,NA,NA,19.6,NA,NA,22.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1523,14.4,NA,NA,16.0,NA,NA,18.5,NA,NA,21.5,NA,NA,23.6,NA,NA,24.9,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,1524,14.0,NA,NA,14.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1525,17.6,NA,NA,19.8,NA,NA,25.1,NA,NA,29.9,NA,NA,35.0,NA,NA,38.2,NA,NA,41.7,NA,NA,43.7,NA,NA
1,Bu,1526,12.4,NA,NA,12.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1527,7.8,NA,NA,7.7,NA,NA,8.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1601,19.7,NA,NA,22.7,NA,NA,27.8,NA,NA,32.6,NA,NA,38.2,NA,NA,41.8,NA,NA,43.7,NA,NA,48.0,NA,NA
1,Bu,1602,11.9,NA,NA,12.0,NA,NA,12.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1603,15.9,NA,15.0,16.8,NA,NA,17.9,NA,NA,17.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1604,7.4,NA,NA,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1605,13.4,NA,NA,13.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1606,15.1,NA,NA,16.1,NA,NA,19.0,NA,NA,22.2,NA,NA,24.7,NA,NA,26.1,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,1607,23.1,NA,16.0,24.2,NA,NA,26.9,NA,24.1,30.2,NA,NA,33.6,NA,NA,36.3,NA,NA,40.8,NA,NA,42.5,NA,30.4
1,Bu,1608,17.4,NA,NA,18.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1609,15.7,NA,NA,17.4,NA,NA,21.2,NA,NA,26.0,NA,NA,29.8,NA,NA,32.8,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,1610,7.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1611,10.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1612,10.6,NA,NA,10.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1613,15.8,NA,NA,16.2,NA,NA,17.5,NA,NA,18.0,NA,NA,18.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1614,9.4,NA,NA,9.4,NA,NA,9.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1615,7.5,NA,NA,7.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1616,20.6,NA,NA,21.8,NA,NA,22.8,NA,NA,25.0,NA,NA,27.5,NA,NA,28.5,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,1617,8.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1618,23.2,NA,NA,25.8,NA,NA,30.5,NA,NA,34.7,NA,NA,40.3,NA,NA,43.6,NA,NA,47.4,NA,NA,49.4,NA,NA
1,Bu,1619,10.0,NA,NA,10.0,NA,NA,10.1,NA,NA,10.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1620,16.2,NA,NA,17.2,NA,NA,20.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1621,12.6,NA,NA,13.8,NA,NA,16.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1622,11.2,NA,NA,12.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1701,8.7,NA,NA,8.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1702,8.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1703,14.6,NA,NA,15.7,NA,NA,18.0,NA,NA,20.5,NA,NA,22.8,NA,NA,23.8,NA,NA,25.0,NA,24.6,27.3,NA,NA
1,Bu,1704,10.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1705,10.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1706,10.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1707,6.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1708,20.8,NA,NA,22.2,NA,NA,26.5,NA,NA,30.0,NA,NA,33.5,NA,NA,35.7,NA,NA,38.2,NA,NA,41.3,NA,NA
1,Bu,1709,25.1,NA,NA,27.4,NA,NA,32.2,NA,NA,36.8,NA,NA,41.5,NA,NA,45.1,NA,NA,49.1,NA,NA,52.4,NA,NA
1,Bu,1710,7.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1711,8.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1712,29.2,NA,NA,31.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1801,9.6,NA,NA,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1802,11.2,NA,NA,11.7,NA,NA,12.1,NA,NA,12.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1803,20.5,NA,NA,23.4,NA,NA,27.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1804,25.0,NA,NA,26.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1805,11.0,NA,NA,11.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1806,21.4,NA,NA,24.2,NA,NA,29.5,NA,NA,35.4,NA,NA,39.9,NA,NA,45.1,3,NA,NA,NA,NA,NA,NA,NA
1,Bu,1807,17.2,NA,NA,18.7,NA,NA,20.0,NA,NA,21.1,NA,NA,24.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1808,14.0,NA,NA,14.0,NA,NA,14.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1809,7.5,NA,NA,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1810,11.4,NA,NA,11.3,NA,NA,11.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,1811,16.2,NA,NA,16.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
