Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:02:44
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 04
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	24.07.1984	24.07.1984	24.07.1984	12.09.1995	12.09.1995	12.09.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	370	14	38	356	99	47	257	143	28	114	0	42	
2	Ofi	284	11,8			15,3			18,0	7					
2	Ofi	285	10,1		9,5	12,0			15,0			18,6			
2	Ofi	286	11,6			15,1			17,0	7					
2	Ofi	287	9,2			14,4		13,5	16,0	7					
2	Ofi	288	11,4			15,4		14,8	17,5			19,9			
2	Ofi	289	12,2			18,0			23,6		19,8	26,5		22,5	
2	Ofi	290	10,4		10,0	16,8		15,3	23,3			28,9			
2	Ofi	291	8,5			14,5			16,5	7					
2	Ofi	292	15,5			21,8			27,6	1	20,6				
2	Ofi	293	9,4		9,0	13,1		13,0	15,5	7					
2	Ofi	294	6,2			6,4	6								
2	Ofi	295	6,6			6,8	6								
2	Ofi	296	10,4			14,6			17,0	1					
2	Ofi	297	9,6			12,9			13,9	1					
2	Ofi	298	10,8			11,1	6								
2	Ofi	299	9,5			13,1			14,4	1					
2	Ofi	300	11,4			14,6			16,2			17,4			
1	Dgl	301	14,1			23,0		19,0	39,3			49,5		31,7	
2	Ofi	302	14,4			20,0			22,0			24,1			
2	Ofi	303	13,4			17,9			22,6			23,4			
2	Ofi	304	12,2			17,6			19,0	7					
2	Ofi	305	10,4			12,3			14,5	7					
2	Ofi	306	13,0			17,5			22,8			23,7			
2	Ofi	307	13,2			17,1			19,5	7					
2	Ofi	308	13,2			16,8			18,6			19,9			
