Bestandeseinheit,Baumart,Baumnummer,D_1958,Aus_1958,H_1958,D_1964,Aus_1964,H_1964,D_1974,Aus_1974,H_1974,D_1981,Aus_1981,H_1981,D_1992,Aus_1992,H_1992,D_2001,Aus_2001,H_2001,D_2008,Aus_2008,H_2008,D_2011,Aus_2011,H_2011,D_2015,Aus_2015,H_2015
1,Bu,72,20.1,NA,NA,21.8,NA,NA,23.8,NA,NA,24.2,NA,NA,24.4,NA,NA,24.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,73,19.0,NA,NA,21.4,NA,NA,24.2,NA,NA,26.0,NA,NA,28.9,NA,30.0,30.7,NA,NA,32.4,NA,NA,33.0,NA,NA,34.4,NA,NA
1,Bu,74,19.0,NA,NA,21.3,NA,NA,25.0,NA,NA,26.9,NA,NA,30.3,NA,NA,33.6,NA,NA,35.5,NA,NA,36.5,NA,NA,37.9,NA,NA
1,Bu,75,22.6,NA,NA,24.6,NA,NA,27.4,NA,27.0,28.6,NA,NA,31.1,NA,NA,32.6,NA,NA,33.7,NA,NA,34.0,NA,NA,35.1,NA,NA
1,Bu,76,20.8,NA,NA,23.5,NA,NA,26.9,NA,NA,28.6,NA,NA,32.1,NA,32.0,34.5,NA,NA,35.1,NA,NA,35.5,NA,NA,35.8,NA,NA
1,Bu,77,8.6,NA,12.5,8.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,78,14.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ah,79,10.1,NA,NA,10.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,80,7.4,NA,NA,8.0,NA,NA,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,81,18.0,NA,NA,20.7,NA,NA,23.6,NA,30.0,25.4,NA,NA,28.6,NA,NA,30.9,NA,NA,32.0,NA,NA,33.3,NA,NA,34.2,NA,NA
1,Bu,82,17.0,NA,NA,19.0,NA,22.0,21.2,NA,NA,22.0,NA,NA,22.7,NA,NA,23.2,NA,NA,23.4,NA,NA,22.8,NA,NA,23.2,NA,NA
1,Bu,83,18.3,NA,NA,19.2,NA,NA,20.0,NA,NA,20.6,NA,NA,21.9,NA,NA,22.6,NA,NA,22.8,NA,NA,22.8,NA,NA,22.8,NA,NA
1,Bu,84,11.6,NA,NA,11.8,NA,NA,11.7,NA,NA,11.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,85,10.0,NA,NA,10.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,86,19.5,NA,NA,21.8,NA,NA,24.6,NA,NA,26.2,NA,NA,30.1,NA,NA,32.7,NA,NA,34.1,NA,NA,34.5,NA,NA,35.8,NA,NA
2,Ah,87,15.0,NA,NA,15.2,NA,NA,15.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,88,16.0,NA,NA,19.0,NA,NA,22.6,NA,NA,24.5,NA,NA,28.1,NA,32.5,31.0,NA,NA,32.3,NA,NA,33.3,NA,NA,33.5,NA,NA
1,Bu,89,7.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,90,16.0,NA,NA,18.0,NA,NA,20.3,NA,NA,21.0,NA,NA,21.9,NA,28.5,21.9,NA,NA,22.1,NA,NA,22.0,NA,NA,22.1,NA,NA
1,Bu,91,19.9,NA,NA,22.0,NA,NA,28.2,NA,NA,30.6,NA,NA,35.2,NA,NA,38.7,NA,NA,40.5,NA,NA,41.0,NA,NA,42.6,NA,NA
1,Bu,92,13.8,NA,NA,13.9,NA,NA,14.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,93,8.8,NA,NA,9.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,94,16.9,NA,NA,19.4,NA,NA,23.5,NA,NA,25.4,NA,NA,28.4,NA,31.5,30.3,NA,NA,31.8,NA,NA,32.0,NA,NA,33.4,NA,NA
1,Bu,95,8.2,NA,NA,8.2,NA,NA,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,96,8.2,NA,NA,8.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,97,13.6,NA,NA,15.0,NA,18.0,16.2,NA,24.0,16.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,98,14.6,NA,NA,16.0,NA,19.0,19.3,NA,NA,21.6,NA,NA,27.0,NA,NA,28.1,NA,NA,28.9,NA,NA,29.5,NA,NA,29.7,NA,NA
1,Bu,99,15.5,NA,NA,17.8,NA,21.0,21.8,NA,NA,24.0,NA,27.1,28.5,NA,31.0,30.2,NA,35.4,32.3,NA,37.5,32.8,NA,38.2,33.3,NA,42.6
