Exportierte Tabelle Messdaten Durchmesser / Höhen
Versuchsflächendatenbank vom 10.12.2022  15:03:00
Nutzer    : ---

Forstamt  : 44   Schönheide
Revier    : Hundshübel
Versuch   : 14607
Parzelle  : 05
Teilfläche: 112 a2
Standort  : Mf-Z3
Höhenlage : 680



Aufnahme	Aufnahme	Aufnahme	26.07.1984	26.07.1984	26.07.1984	21.06.1995	21.06.1995	21.06.1995	10.11.2006	10.11.2006	10.11.2006	03.12.2013	03.12.2013	03.12.2013	
Wert	Wert	Wert	D	Aus	H	D	Aus	H	D	Aus	H	D	Aus	H	
Einheit	Einheit	Einheit	cm		m	cm		m	cm		m	cm		m	
Bst.-E.	Art	Baum	325	102	43	223	34	48	189	98	34	91	0	48	
2	Ofi	237	16,8			19,5	5								
2	Ofi	238	12,8			13,3	5								
1	Dgl	239	15,1			25,9			32,3		22,8	35,4		26,3	
3	Fi	240	7,0			11,4			11,5		16,8	12,8		16,9	
1	Dgl	241	4,6			11,5			11,7			11,8			
3	Fi	242	5,8	1											
1	Dgl	243	7,9			11,5	7								
1	Dgl	244	17,4			30,2			43,4		25,5	51,3		30,9	
1	Dgl	245	7,8			8,9			12,5	7					
1	Dgl	246	13,3			28,5		17,0	38,5		25,1	42,7		26,4	
1	Dgl	247	10,9			15,6	7								
1	Dgl	248	6,8	1											
1	Dgl	249	9,2			21,6			25,5	7					
2	Ofi	250	5,6			13,0			15,0	7					
2	Ofi	251	13,8			17,2	5								
3	Fi	252	4,9	1											
3	Fi	253	16,4			24,6			29,2			37,0			
2	Ofi	254	6,4	1											
1	Dgl	255	16,7			30,5		20,3	43,2			52,7			
1	Dgl	256	13,6			23,5			33,0		28,4	41,4		32,5	
1	Dgl	257	6,1	1											
1	Dgl	258	21,9			36,7		20,5	48,2			56,6			
2	Ofi	259	13,8			16,7	5								
1	Dgl	260	19,2			27,3			30,0	1	21,0				
1	Dgl	261	16,5			24,2			32,6			38,4			
1	Dgl	262	13,1			20,5			28,1			32,4		28,1	
2	Ofi	263	9,7			11,4			14,0	7					
2	Ofi	264	9,3			10,7		13,5	13,5	7					
2	Ofi	265	15,0			19,3		16,0	23,5	7					
2	Ofi	266	6,8			6,9	5								
1	Dgl	267	12,2			12,8	5								
2	Ofi	268	9,9		8,0	11,7	5								
3	Fi	269	13,4			19,3			24,1		23,0	26,7		23,8	
2	Ofi	270	15,0			17,2			20,5	7					
1	Dgl	271	18,1		11,0	31,9		20,8	43,8		28,3	52,2		33,2	
1	Dgl	272	11,1			14,7			17,0	7					
1	Dgl	273	6,9	1											
1	Dgl	274	11,1			17,8			21,0	7					
1	Dgl	275	18,4			29,3			32,5	1	22,0				
2	Ofi	276	7,3	1											
1	Dgl	277	15,5			21,0			24,0		22,5	28,8		25,8	
3	Fi	278	13,4			19,6			23,5	7					
3	Fi	279	12,2			17,5			23,7	1					
1	Dgl	280	5,4			5,7	5								
3	Fi	281	7,9			8,9			12,5	7					
3	Fi	282	6,1			6,7	5								
3	Fi	283	4,1			4,6	5								
3	Fi	284	8,7			18,9			32,8			38,7		28,5	
2	Ofi	285	12,6			17,1			20,5	7					
3	Fi	286	9,0			21,4			34,2			40,8		28,8	
2	Ofi	287	7,4			7,8	5								
1	Dgl	288	15,2			26,2			28,0	1	20,0				
2	Ofi	289	13,4			18,9		16,0	22,0			22,3			
1	Dgl	290	11,9			21,6			34,4			42,3			
2	Ofi	291	9,4			13,8			16,5	7					
2	Ofi	292	15,0			19,3	5								
3	Fi	293	9,4			20,3			24,0	7					
3	Fi	294	12,4			24,4			33,4			39,9		26,9	
3	Fi	295	10,0			22,4			31,9			35,9		29,9	
2	Ofi	296	4,2			4,6	5								
2	Ofi	297	7,2			8,4	5								
3	Fi	298	14,0		10,5	23,7			28,9			31,3		26,2	
3	Fi	299	8,2			13,6			16,5	7					
3	Fi	300	9,1			13,4			16,0	7					
3	Fi	301	7,0			8,2	7								
3	Fi	302	4,6	1											
1	Dgl	303	16,5		10,0	29,6		19,0	33,5	7					
1	Dgl	304	6,0	1											
1	Dgl	305	17,6			27,8			42,5		19,0	51,7			
2	Ofi	306	11,6			14,0		14,8	17,0	7					
2	Ofi	307	14,0		9,5	18,2		16,8	26,0	1					
2	Ofi	308	15,9		10,0	20,2			21,4			23,1			
2	Ofi	309	13,5		8,0	18,2		15,0	20,0			21,4			
1	Dgl	310	15,8			27,0			38,1			45,3		29,9	
2	Ofi	311	11,2			15,7			18,5	1					
3	Fi	312	11,9		8,5	19,9			22,5			26,0		18,5	
1	Dgl	313	17,1			29,0		19,5	41,1		26,8	49,3		30,6	
1	Dgl	314	13,4		10,0	20,1		18,0	28,0	1	24,9				
3	Fi	315	14,4			27,6			35,0		26,3	48,3		30,2	
3	Fi	316	8,1			9,5			12,5	7					
2	Ofi	317	11,8			14,5		13,5	16,5	7					
2	Ofi	318	9,9			10,9			13,5	7					
1	Dgl	319	5,7	1	4,5										
2	Ofi	320	15,7		9,0	24,8		17,2	34,8	1	26,0				
2	Ofi	321	15,8		9,0	22,8		15,8	26,5	7					
2	Ofi	322	9,8		7,5	15,1		14,2	17,5	7					
1	Dgl	323	6,3		4,5	10,9		11,7	13,5	7					
3	Fi	324	4,0		2,7	7,9			10,5	7					
3	Fi	325	5,0	1											
3	Fi	326	10,1			22,2			26,5			46,3			
