Aufnahme	Aufnahme	Aufnahme	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	21.08.1988	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	02.09.1998	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	26.10.2005	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	07.10.2011	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	17.09.2020	
Wert	Wert	Wert	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	D	Typ	MH	Aus	NVP	Bruch	Sonst	Klass	ZSt.	H	Typ	K	H-BHK	Typ	H-Mod	Typ	
Einheit	Einheit	Einheit	cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		cm		cm		%				J/N	m		m	m		m		
Bst.-E.	Art	Baum	402			41		0	121		402	29		0	402		0		361			181		0	99		361	38		0	361		0		180			17		0	0		180	9		0	180		0		163			74		5	0		163	10		0	163		0		89			0		0	0		89	0		0	0		0		
1	Ei	53	6,5	2	130		0			0	N		 		10,80	3			7,3	2	130		0			0	N		 		10,30	3			8,0	0	0	1	0			0	N		 		11,90	3																																			
1	Ei	54	9,3	2	130		0			0	N		 		13,60	3			11,3	2	130		0			0	N		 		14,90	3			13,2	0	0		0			0	N		 		17,40	3			14,6	3	130		0			0	N		 		20,60	3			8,7	3	130		0			0	N		 						
1	Ei	55	11,4	2	130		0			0	N		 		15,10	3			14,7	2	130		0			0	N		 		17,50	3			16,8	0	0		0			0	N		 		19,70	3			17,8	3	0	2	0			0	N		 		22,10	3																			
1	Ei	56	12,0	2	130		0			0	N		 		15,40	3			14,8	2	130		0			0	N		 		17,60	3			15,3	0	0		0			0	N		 		18,80	3			15,6	3	0	2	0			0	N		 		21,10	3																			
1	Ei	57	7,1	2	130		0			0	N		 		11,50	3			7,6	2	130		0			0	N		 		10,80	3			7,9	0	0	1	0			0	N		 		11,80	3																																			
1	Ei	58	13,9	2	130		0			0	N		 		16,40	3			14,7	2	130	5	0			0	N		 		17,50	3																																																			
1	Ei	59	8,2	2	130		0		ast	0	N		 		12,70	3			10,5	2	130		0		ast	0	N		 		14,20	3			13,3	0	0		0			0	N		 		17,40	3			14,0	3	0		0			0	N		 		20,30	3			14,9	3	130		0			0	N		 						
1	Ei	60	8,0	2	130		0		krumm	0	N		 		12,50	3			7,7	2	130	5	0		krumm	0	N		 		10,90	3																																																			
1	Ei	61	10,4	2	130		0		sonst	0	N		 		14,50	3			10,7	2	130	5	0		sonst	0	N		 		14,40	3																																																			
1	Ei	62	15,0	2	130		0			0	N		 		16,80	3			20,0	2	130	3	0			0	N		 		20,20	3																																																			
1	Ei	63	6,4	2	130		0			0	N		 		10,70	3			6,4	2	130	5	0			0	N		 		9,00	3																																																			
1	Ei	64	9,7	2	130		0			0	N		 		14,00	3			11,8	2	130		0			0	N		 		15,40	3			14,1	0	0		0			0	N		 		18,00	3			15,1	3	0		0			0	N		 		20,90	3			15,6	3	130		0			0	N		 						
1	Ei	65	12,4	2	130		0			0	N		 		15,70	3			14,7	2	130	5	0			0	N		 		17,50	3																																																			
