Bestandeseinheit,Baumart,Baumnummer,D_1972,Aus_1972,H_1972,D_1981,Aus_1981,H_1981,D_1993,Aus_1993,H_1993,D_2001,Aus_2001,H_2001,D_2011,Aus_2011,H_2011,D_2017,Aus_2017,H_2017
1,Bu,220,12.0,NA,20.5,13.7,NA,23.8,14.1,NA,25.0,14.4,NA,NA,16.4,1,NA,NA,NA,NA
1,Bu,221,9.5,NA,NA,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,222,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,223,13.9,NA,19.1,13.7,NA,20.9,13.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,224,17.3,NA,20.8,20.4,NA,24.6,26.3,2,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,225,10.4,NA,NA,10.6,NA,NA,10.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,226,13.9,NA,NA,14.1,NA,25.6,14.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,227,7.0,NA,NA,7.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,228,5.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,229,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,230,8.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,231,11.5,NA,NA,14.6,NA,NA,17.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,232,7.5,NA,NA,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,233,10.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,234,13.8,NA,NA,14.7,NA,22.0,17.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,235,14.0,NA,NA,14.2,NA,NA,16.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,236,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,237,9.0,NA,NA,9.0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,238,9.5,NA,NA,9.6,NA,NA,10.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,239,14.0,NA,NA,16.3,NA,NA,18.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,240,5.4,NA,NA,5.5,NA,NA,5.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,241,10.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,242,9.4,NA,NA,9.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,243,12.3,NA,NA,13.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,244,15.9,NA,NA,21.4,NA,NA,27.5,NA,NA,30.9,NA,32.6,33.9,NA,36.1,35.8,2,NA
2,Es,245,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,246,7.8,NA,NA,7.8,NA,NA,8.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,247,14.0,NA,NA,17.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,248,13.4,NA,NA,17.0,NA,NA,20.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,249,10.3,NA,NA,10.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,250,14.2,NA,NA,14.3,NA,NA,14.9,NA,NA,15.2,2,NA,NA,NA,NA,NA,NA,NA
2,Es,251,8.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,252,6.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,253,15.2,NA,NA,15.8,NA,23.5,16.1,NA,NA,16.2,2,NA,NA,NA,NA,NA,NA,NA
1,Bu,254,19.4,NA,NA,24.3,NA,NA,30.2,NA,NA,34.1,NA,NA,39.2,NA,NA,40.4,NA,33.6
1,Bu,255,10.3,NA,NA,10.8,NA,NA,11.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,256,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,257,10.3,NA,NA,10.3,NA,NA,10.6,NA,NA,10.5,NA,NA,12.6,1,NA,NA,NA,NA
1,Bu,258,11.5,NA,NA,11.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,259,4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,260,11.4,NA,NA,13.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Bu,261,5.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Es,262,13.5,NA,NA,15.0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
